time	rpm	volt	inp	pwm	raw
0.0	8.44	0.6	25	5.0	28.13
0.02	1.55	0.6	25	5.0	-14.54
0.04	5.87	0.6	25	5.0	15.96
0.06	9.85	0.6	25	5.0	19.15
0.08	13.21	0.6	25	5.0	21.05
0.1	15.56	0.6	25	5.0	21.05
0.12	17.4	0.6	25	5.0	21.69
0.14	18.68	0.6	25	5.0	21.67
0.16	19.58	0.6	25	5.0	21.68
0.18	20.21	0.6	25	5.0	21.69
0.2	20.66	0.6	25	5.0	21.7
0.22	21.16	0.6	25	5.0	22.32
0.24	21.5	0.6	25	5.0	22.29
0.26	21.56	0.6	25	5.0	21.72
0.28	21.79	0.6	25	5.0	22.32
0.3	21.76	0.6	25	5.0	21.69
0.32	21.93	0.6	25	5.0	22.32
0.34	21.86	0.6	25	5.0	21.69
0.36	21.8	0.6	25	5.0	21.67
0.38	21.77	0.6	25	5.0	21.68
0.4	21.93	0.6	25	5.0	22.31
0.42	21.86	0.6	25	5.0	21.69
0.44	22.19	0.6	25	5.0	22.96
0.46	22.23	0.6	25	5.0	22.32
0.48	22.26	0.6	25	5.0	22.32
0.5	22.28	0.6	25	5.0	22.32
0.52	22.5	0.6	25	5.0	23.01
0.54	22.43	0.6	25	5.0	22.27
0.56	22.4	0.6	25	5.0	22.32
0.58	22.57	0.6	25	5.0	22.96
0.6	22.68	0.6	25	5.0	22.96
0.62	22.77	0.6	25	5.0	22.96
0.64	22.63	0.6	25	5.0	22.33
0.66	22.53	0.6	25	5.0	22.3
0.68	22.67	0.6	25	5.0	22.98
0.7	22.58	0.6	25	5.0	22.37
0.72	22.68	0.6	25	5.0	22.91
0.74	22.76	0.6	25	5.0	22.96
0.76	22.82	0.6	25	5.0	22.94
0.78	22.67	0.6	25	5.0	22.33
0.8	22.76	0.6	25	5.0	22.97
0.82	22.81	0.6	25	5.0	22.94
0.84	22.86	0.6	25	5.0	22.97
0.86	22.89	0.6	25	5.0	22.96
0.88	22.72	0.6	25	5.0	22.31
0.9	22.79	0.6	25	5.0	22.97
0.92	22.64	0.6	25	5.0	22.3
0.94	22.56	0.6	25	5.0	22.35
0.96	22.49	0.6	25	5.0	22.32
0.98	22.63	0.6	25	5.0	22.96
1.0	22.34	0.6	25	5.0	21.67
1.02	22.3	0.6	25	5.0	22.21
1.04	22.12	0.6	25	5.0	21.68
1.06	22.18	0.6	25	5.0	22.34
