time	rpm	volt	inp	pwm	raw
0.0	8.58	7.54	50	62.83	28.61
0.02	3.63	7.54	50	62.83	-7.92
0.04	12.69	7.54	50	62.83	33.83
0.06	21.33	7.54	50	62.83	41.49
0.08	28.52	7.54	50	62.83	45.3
0.1	33.93	7.54	50	62.83	46.55
0.12	38.1	7.54	50	62.83	47.84
0.14	41.01	7.54	50	62.83	47.8
0.16	43.23	7.54	50	62.83	48.4
0.18	44.83	7.54	50	62.83	48.55
0.2	45.93	7.54	50	62.83	48.5
0.22	46.69	7.54	50	62.83	48.47
0.24	47.19	7.54	50	62.83	48.36
0.26	47.6	7.54	50	62.83	48.56
0.28	47.87	7.54	50	62.83	48.49
0.3	48.07	7.54	50	62.83	48.54
0.32	48.17	7.54	50	62.83	48.4
0.34	48.26	7.54	50	62.83	48.46
0.36	48.31	7.54	50	62.83	48.42
0.38	48.37	7.54	50	62.83	48.51
0.4	48.4	7.54	50	62.83	48.48
0.42	48.61	7.54	50	62.83	49.11
0.44	48.76	7.54	50	62.83	49.11
0.46	48.87	7.54	50	62.83	49.13
0.48	48.75	7.54	50	62.83	48.45
0.5	49.04	7.54	50	62.83	49.74
0.52	49.07	7.54	50	62.83	49.12
0.54	49.08	7.54	50	62.83	49.1
0.56	49.08	7.54	50	62.83	49.1
0.58	49.09	7.54	50	62.83	49.1
0.6	49.1	7.54	50	62.83	49.12
0.62	49.29	7.54	50	62.83	49.75
0.64	49.24	7.54	50	62.83	49.11
0.66	49.37	7.54	50	62.83	49.69
0.68	49.3	7.54	50	62.83	49.15
0.7	49.44	7.54	50	62.83	49.75
0.72	49.73	7.54	50	62.83	50.4
0.74	49.92	7.54	50	62.83	50.38
0.76	50.05	7.54	50	62.83	50.34
0.78	50.16	7.54	50	62.83	50.4
0.8	50.41	7.54	50	62.83	51.0
0.82	50.4	7.54	50	62.83	50.37
0.84	50.59	7.54	50	62.83	51.04
0.86	50.72	7.54	50	62.83	51.03
0.88	50.63	7.54	50	62.83	50.4
0.9	50.93	7.54	50	62.83	51.65
0.92	50.96	7.54	50	62.83	51.03
0.94	50.98	7.54	50	62.83	51.02
0.96	50.97	7.54	50	62.83	50.95
0.98	51.0	7.54	50	62.83	51.06
1.0	51.01	0.6	25	5.0	51.03
1.02	50.56	0.6	25	5.0	49.52
1.04	49.56	0.6	25	5.0	47.23
1.06	47.7	0.6	25	5.0	43.35
1.08	45.67	0.6	25	5.0	40.94
1.1	43.46	0.6	25	5.0	38.29
1.12	41.33	0.6	25	5.0	36.38
1.14	38.88	0.6	25	5.0	33.17
1.16	36.58	0.6	25	5.0	31.22
1.18	34.43	0.6	25	5.0	29.41
1.2	32.31	0.6	25	5.0	27.37
1.22	30.46	0.6	25	5.0	26.15
1.24	28.58	0.6	25	5.0	24.19
1.26	27.09	0.6	25	5.0	23.61
1.28	25.67	0.6	25	5.0	22.34
1.3	24.47	0.6	25	5.0	21.67
1.32	23.64	0.6	25	5.0	21.72
1.34	23.07	0.6	25	5.0	21.73
