time	rpm	tmp	TMP	PWM	
0.0	0	102.57	32.76	25	0
0.1	0	107.07	40.19	25	0
0.2	0	99.7	46.14	25	0
0.3	0	110.87	52.61	25	0
0.4	0	114.53	58.8	25	0
0.5	0	103.3	63.25	25	0
0.6	0	96.09	66.54	25	0
0.7	0	108.31	70.71	25	0
0.8	0	101.7	73.81	25	0
0.9	0	110.22	77.45	25	0
1.0	0	92.46	78.95	25	0
1.1	0	97.74	80.83	25	0
1.2	0	106.45	83.39	25	0
1.3	0	101.7	85.22	25	0
1.4	0	101.7	86.87	25	0
1.5	0	99.98	88.18	25	0
1.6	0	114.19	90.78	25	0
1.7	0	101.55	91.86	25	0
1.8	0	100.41	92.72	25	0
1.9	0	102.86	93.73	25	0
2.0	0	100.26	94.38	25	0
2.1	0	94.6	94.4	25	0
2.2	0	104.04	95.37	25	0
2.3	0	112.34	97.07	25	0
2.4	0	106.3	97.99	25	0
2.5	0	114.53	99.64	25	0
2.6	0	104.19	100.1	25	0
2.7	0	112.84	101.37	25	0
2.8	0	109.26	102.16	25	0
2.9	0	109.1	102.86	25	0
3.0	0	103.89	102.96	25	0
3.1	0	98.99	102.56	25	0
3.2	0	104.64	102.77	25	0
3.3	0	109.26	103.42	25	0
3.4	0	100.55	103.13	25	0
3.5	0	105.24	103.34	25	0
3.6	0	102.72	103.28	25	0
3.7	0	105.24	103.48	25	0
3.8	0	91.93	102.32	25	0
3.9	0	103.74	102.46	25	0
4.0	0	103.3	102.55	25	0
4.1	0	106.61	102.95	25	0
4.2	0	102.42	102.9	25	0
4.3	0	104.79	103.09	25	0
4.4	0	106.45	103.43	25	0
4.5	0	102.86	103.37	25	0
4.6	0	94.46	102.48	25	0
4.7	0	105.39	102.77	25	0
4.8	0	87.91	101.28	25	0
4.9	0	104.19	101.57	25	0
5.0	0	102.13	101.63	25	0
5.1	0	106.91	102.16	25	0
5.2	0	101.41	102.08	25	0
5.3	0	104.49	102.32	25	0
5.4	0	100.55	102.15	25	0
5.5	0	120.26	103.96	25	0
5.6	0	109.42	104.5	25	0
5.7	0	90.62	103.12	25	0
5.8	0	109.9	103.79	25	0
5.9	0	101.84	103.6	25	0
6.0	0	102.42	103.48	25	0
6.1	0	102.86	103.42	25	0
6.2	0	107.84	103.86	25	0
6.3	0	99.7	103.45	25	0
6.4	0	93.39	102.44	25	0
6.5	0	85.36	100.73	25	0
6.6	0	108.31	101.49	25	0
6.7	0	103.01	101.64	25	0
6.8	0	103.45	101.82	25	0
6.9	0	110.87	102.73	25	0
7.0	0	115.05	103.96	25	0
7.1	0	102.42	103.81	25	0
7.2	0	106.76	104.1	25	0
7.3	0	101.84	103.88	25	0
7.4	0	91.93	102.68	25	0
7.5	0	83.85	100.8	25	0
7.6	0	104.04	101.12	25	0
7.7	0	103.89	101.4	25	0
7.8	0	102.72	101.53	25	0
7.9	0	109.42	102.32	25	0
8.0	0	111.52	103.24	25	0
8.1	0	104.64	103.38	25	0
8.2	0	88.04	101.85	25	0
8.3	0	88.29	100.49	25	0
8.4	0	103.89	100.83	25	0
8.5	0	99.41	100.69	25	0
8.6	0	103.01	100.92	25	0
8.7	0	112.51	102.08	25	0
8.8	0	95.27	101.4	25	0
8.9	0	87.01	99.96	25	0
9.0	0	101.55	100.12	25	0
